HOEHE,THERMO,WINDAZI,WINDGES,QUERSUM
500,12.7,//,//,15
1100,8.9,11,15,27
1500,5.0,13,21,18
2000,1.7,12,26,21
3200,-7.5,12,26,28
3400,-6.8,12,27,33
3900,-9.6,11,28,39
4600,-15.9,14,28,40
5100,-18.8,15,33,35
5300,-18.3,15,32,31
6600,-26.6,15,34,39
8100,-37.0,17,37,37
8300,-39.8,16,40,42
8500,-40.7,16,43,38
8800,-42.0,19,43,39
8900,-45.7,19,43,50
9000,-44.4,18,45,39
9100,-45.9,18,42,43
9200,-45.8,19,45,47
9400,-46.2,15,41,36
9500,-46.3,19,43,44
9600,-46.9,20,40,40
9800,-47.5,16,36,49
9900,-47.5,16,39,53
10000,-46.4,16,40,26
10200,-46.5,17,41,31
10500,-47.4,20,44,31
11000,-47.7,17,40,32
11400,-48.2,17,37,38
11800,-49.2,18,35,42
